City,State,Country,Estimate (low),Estimate (high),Average,city_state_country,lat,lon
Durango,CO,US,1000,1000,1e3,"Durango, CO, US",37.27528,37.27528
Eagle Pass,TX,US,NA,NA,NA,"Eagle Pass, TX, US",28.7091433,28.7091433
East Haddam,CT,US,500,500,500.0,"East Haddam, CT, US",41.5034351,41.5034351
Eastport,ME,US,70,70,70.0,"Eastport, ME, US",44.9061906,44.9061906
Eastsound,WA,US,NA,NA,NA,"Eastsound, WA, US",48.696654,48.696654
Eau Claire,WI,US,250,250,250.0,"Eau Claire, WI, US",44.7683909,44.7683909
El Paso,TX,US,1000,1000,1e3,"El Paso, TX, US",31.7618778,31.7618778
Elgin,IL,US,200,1000,600.0,"Elgin, IL, US",42.0354084,42.0354084
Elkton,OR,US,NA,NA,NA,"Elkton, OR, US",39.60677889999999,39.60677889999999
Ellsworth,ME,US,60,60,60.0,"Ellsworth, ME, US",44.5434095,44.5434095
Ely,MN,US,50,50,50.0,"Ely, MN, US",47.9032372,47.9032372
Ephrata,WA,US,250,250,250.0,"Ephrata, WA, US",47.3176385,47.3176385
Erie,PA,US,2500,2500,2500.0,"Erie, PA, US",42.12922409999999,42.12922409999999
Eugene,OR,US,7000,10000,8500.0,"Eugene, OR, US",44.0520691,44.0520691
Eureka,CA,US,2000,80000,41e3,"Eureka, CA, US",40.8020712,40.8020712
Fairbanks,AK,US,1000,1000,1e3,"Fairbanks, AK, US",64.8377778,64.8377778
Fairfield,IA,US,200,200,200.0,"Fairfield, IA, US",41.00761139999999,41.00761139999999
Fairmont,WY,US,95,95,95.0,"Fairmont, WY, US",33.7676528,33.7676528
Falmouth,MA,US,1000,1000,1e3,"Falmouth, MA, US",41.5532208,41.5532208
Fargo,ND,US,1000,3000,2e3,"Fargo, ND, US",46.8771863,46.8771863
Fayetteville,AR,US,1000,1000,1e3,"Fayetteville, AR, US",36.0625795,36.0625795
Fernandina Beach,FL,US,1000,1300,1150.0,"Fernandina Beach, FL, US",30.6696818,30.6696818
Flagstaff,AZ,US,1200,1200,1200.0,"Flagstaff, AZ, US",35.1982836,35.1982836
Florence,OR,US,NA,NA,NA,"Florence, OR, US",34.1954331,34.1954331
Floyd,VA,US,200,200,200.0,"Floyd, VA, US",36.9112443,36.9112443
Forks,WA,US,45,45,45.0,"Forks, WA, US",47.950355,47.950355
Fort Wayne,IN,US,1000,1000,1e3,"Fort Wayne, IN, US",41.079273,41.079273
Fort Bragg,CA,US,NA,NA,NA,"Fort Bragg, CA, US",39.445723,39.445723
Fort Sumner,NM,US,NA,NA,NA,"Fort Sumner, NM, US",34.4717332,34.4717332
Fort Worth,TX,US,5000,6000,5500.0,"Fort Worth, TX, US",32.7554883,32.7554883
Francestown,NH,US,134,134,134.0,"Francestown, NH, US",42.98758249999999,42.98758249999999
Frederick,MD,US,1000,1000,1e3,"Frederick, MD, US",39.41426879999999,39.41426879999999
Fredonia,NY,US,NA,NA,NA,"Fredonia, NY, US",42.4400576,42.4400576
Fresno,CA,US,2000,2000,2e3,"Fresno, CA, US",36.7468422,36.7468422
Friday Harbor,WA,US,1500,1500,1500.0,"Friday Harbor, WA, US",48.5342662,48.5342662
Gainesville,FL,US,1000,1000,1e3,"Gainesville, FL, US",29.6516344,29.6516344
Galesburg,IL,US,100,100,100.0,"Galesburg, IL, US",40.94781580000001,40.94781580000001
Gila,NM,US,1,1,1.0,"Gila, NM, US",32.9646574,32.9646574
Glen Falls,NY,US,1000,1000,1e3,"Glen Falls, NY, US",43.3095164,43.3095164
Glenwood Springs,CO,US,100,100,100.0,"Glenwood Springs, CO, US",39.5505376,39.5505376
Gold Canyon,AZ,US,NA,NA,NA,"Gold Canyon, AZ, US",33.3593407,33.3593407
Gouldsboro,ME,US,25,25,25.0,"Gouldsboro, ME, US",44.47852,44.47852
Grand Forks,ND,US,304,304,304.0,"Grand Forks, ND, US",47.9252568,47.9252568
Grand Junction,CO,US,4500,5000,4750.0,"Grand Junction, CO, US",39.0638705,39.0638705
Grand Rapids,MI,US,300,300,300.0,"Grand Rapids, MI, US",42.9633599,42.9633599
Green Bay,WI,US,200,200,200.0,"Green Bay, WI, US",44.51915899999999,44.51915899999999
Green Valley,AZ,US,400,400,400.0,"Green Valley, AZ, US",31.8542511,31.8542511
Greenfield,MA,US,1000,2000,1500.0,"Greenfield, MA, US",42.587915,42.587915
Greensboro,NC,US,3000,6000,4500.0,"Greensboro, NC, US",36.0726354,36.0726354
Greenville,SC,US,2000,2000,2e3,"Greenville, SC, US",34.85261759999999,34.85261759999999
Greenwood,IN,US,NA,NA,NA,"Greenwood, IN, US",39.6136578,39.6136578
Gross Pointe,MI,US,NA,NA,NA,"Gross Pointe, MI, US",42.3861485,42.3861485
Gualala,CA,US,NA,NA,NA,"Gualala, CA, US",38.7722996,38.7722996
Gulfport,MS,US,300,300,300.0,"Gulfport, MS, US",30.3674198,30.3674198
Gustavus,AK,US,105,105,105.0,"Gustavus, AK, US",58.4133333,58.4133333
Haines,AK,US,150,170,160.0,"Haines, AK, US",59.2358333,59.2358333
Halfway,OR,US,NA,NA,NA,"Halfway, OR, US",44.880715,44.880715
Harrisburg,PA,US,1100,1100,1100.0,"Harrisburg, PA, US",40.2731911,40.2731911
Hartford,CT,US,10000,10000,1e4,"Hartford, CT, US",41.76371109999999,41.76371109999999
Hattiesburg,MS,US,NA,NA,NA,"Hattiesburg, MS, US",31.3271189,31.3271189
Helena,AR,US,2,2,2.0,"Helena, AR, US",34.5291,34.5291
Helena,MT,US,10000,10000,1e4,"Helena, MT, US",46.5883707,46.5883707
Hemet,CA,US,NA,NA,NA,"Hemet, CA, US",33.7475203,33.7475203
Hilo,HI,US,1500,2200,1850.0,"Hilo, HI, US",19.7070942,19.7070942
Hillsborough,NC,US,200,200,200.0,"Hillsborough, NC, US",36.0754183,36.0754183
Homer,AK,US,900,900,900.0,"Homer, AK, US",59.64250000000001,59.64250000000001
Honolulu,HI,US,8000,8000,8e3,"Honolulu, HI, US",21.3069444,21.3069444
Houghton,MI,US,500,500,500.0,"Houghton, MI, US",47.12113309999999,47.12113309999999
Houston,TX,US,20000,22000,21e3,"Houston, TX, US",29.7604267,29.7604267
Hudson,NY,US,1500,3000,2250.0,"Hudson, NY, US",42.2528649,42.2528649
Idaho Falls,ID,US,500,500,500.0,"Idaho Falls, ID, US",43.49165139999999,43.49165139999999
Indiana,PA,US,100,200,150.0,"Indiana, PA, US",40.6214551,40.6214551
Indianapolis,IN,US,4000,10000,7e3,"Indianapolis, IN, US",39.768403,39.768403
Inverness,CA,US,5,5,5.0,"Inverness, CA, US",38.1010337,38.1010337
Iowa City,IA,US,1000,1000,1e3,"Iowa City, IA, US",41.6611277,41.6611277
Ithaca,NY,US,10000,10000,1e4,"Ithaca, NY, US",42.4439614,42.4439614
Jackson,NH,US,NA,NA,NA,"Jackson, NH, US",44.1462613,44.1462613
Jackson,MS,US,750,5000,2875.0,"Jackson, MS, US",32.2987573,32.2987573
Jackson Hole,WY,US,1000,1000,1e3,"Jackson Hole, WY, US",43.4799291,43.4799291
Jacksonville,FL,US,2000,3000,2500.0,"Jacksonville, FL, US",30.3321838,30.3321838
Jerome,AZ,US,NA,NA,NA,"Jerome, AZ, US",34.7489107,34.7489107
Jonesborough,TN,US,1000,1000,1e3,"Jonesborough, TN, US",36.2942722,36.2942722
Joseph,OR,US,310,310,310.0,"Joseph, OR, US",45.3543187,45.3543187
June Lake,CA,US,NA,NA,NA,"June Lake, CA, US",37.7797825,37.7797825
Juneau,AK,US,1000,1000,1e3,"Juneau, AK, US",58.301944399999996,58.301944399999996
Kahului,HI,US,NA,NA,NA,"Kahului, HI, US",20.8893351,20.8893351
Kalamazoo,MI,US,1000,1000,1e3,"Kalamazoo, MI, US",42.2917069,42.2917069
Kanab,UT,US,175,175,175.0,"Kanab, UT, US",37.0474855,37.0474855
Kansas City,MO,US,10000,10000,1e4,"Kansas City, MO, US",39.0997265,39.0997265
Kauai,HI,US,2000,2000,2e3,"Kauai, HI, US",22.0964396,22.0964396
Kawaihae,HI,US,50,50,50.0,"Kawaihae, HI, US",20.0352881,20.0352881
Keene,NH,US,300,300,300.0,"Keene, NH, US",42.933692,42.933692
Kennbunk,ME,US,700,700,700.0,"Kennbunk, ME, US",43.3617327,43.3617327
Kent,CT,US,180,180,180.0,"Kent, CT, US",41.7247554,41.7247554
Kent,OH,US,100,100,100.0,"Kent, OH, US",41.1536674,41.1536674
Ketchikan,AK,US,150,150,150.0,"Ketchikan, AK, US",55.34222219999999,55.34222219999999
Ketchum,ID,US,1150,1150,1150.0,"Ketchum, ID, US",43.6807402,43.6807402
Key West,FL,US,3200,3200,3200.0,"Key West, FL, US",24.5550593,24.5550593
Killington,VT,US,NA,NA,NA,"Killington, VT, US",43.6775677,43.6775677
King's Beach,CA,US,NA,NA,NA,"King's Beach, CA, US",39.2376846,39.2376846
Kingston,WA,US,60,60,60.0,"Kingston, WA, US",47.7987072,47.7987072
Klamath Falls,OR,US,300,300,300.0,"Klamath Falls, OR, US",42.224867,42.224867
Knoxville,TN,US,2000,2000,2e3,"Knoxville, TN, US",35.9606384,35.9606384
Kodiak,AK,US,NA,NA,NA,"Kodiak, AK, US",57.79000000000001,57.79000000000001
Kona,HI,US,3500,3500,3500.0,"Kona, HI, US",19.639994,19.639994
Kotzebeu,AK,US,NA,NA,NA,"Kotzebeu, AK, US",66.89833329999999,66.89833329999999
La Crosse,WI,US,NA,100,50.0,"La Crosse, WI, US",43.8013556,43.8013556
La Grande,OR,US,NA,NA,NA,"La Grande, OR, US",45.3245771,45.3245771
Lafayette,IN,US,800,1000,900.0,"Lafayette, IN, US",40.4167022,40.4167022
Laguna Beach,CA,US,3500,3500,3500.0,"Laguna Beach, CA, US",33.5422475,33.5422475
Lakeside,OH,US,300,300,300.0,"Lakeside, OH, US",41.538557,41.538557
Lancaster,NH,US,400,400,400.0,"Lancaster, NH, US",44.4889204,44.4889204
Lancaster,PA,US,100,100,100.0,"Lancaster, PA, US",40.0466571,40.0466571
Lander,WY,US,350,350,350.0,"Lander, WY, US",42.833014,42.833014
Langley,WA,US,1300,1300,1300.0,"Langley, WA, US",48.0400945,48.0400945
Lansing,MI,US,10000,10000,1e4,"Lansing, MI, US",42.732535,42.732535
Laramie,WY,US,NA,NA,NA,"Laramie, WY, US",41.3113669,41.3113669
Las Cruces,NM,US,100,100,100.0,"Las Cruces, NM, US",32.3199396,32.3199396
Las Vegas,NV,US,5000,15000,1e4,"Las Vegas, NV, US",36.1699412,36.1699412
Las Vegas,NM,US,50,50,50.0,"Las Vegas, NM, US",35.5942137,35.5942137
Leonia,NJ,US,100,100,100.0,"Leonia, NJ, US",40.8614887,40.8614887
Lexington,KY,US,5000,5000,5e3,"Lexington, KY, US",38.0405837,38.0405837
Lewis,NY,US,NA,NA,NA,"Lewis, NY, US",44.27502700000001,44.27502700000001
Lewisburg,PA,US,150,200,175.0,"Lewisburg, PA, US",40.9645293,40.9645293
Lihue,HI,US,NA,NA,NA,"Lihue, HI, US",21.9811111,21.9811111
Lilly,PA,US,4,4,4.0,"Lilly, PA, US",40.4259058,40.4259058
Lincoln,NE,US,8000,8000,8e3,"Lincoln, NE, US",40.8257625,40.8257625
Little Rock,AR,US,7000,7000,7e3,"Little Rock, AR, US",34.7464809,34.7464809
Logan,UT,US,NA,NA,NA,"Logan, UT, US",41.7369803,41.7369803
Los Angeles,CA,US,50000,750000,4e5,"Los Angeles, CA, US",34.0522342,34.0522342
Lompoc,CA,US,NA,NA,NA,"Lompoc, CA, US",34.6391501,34.6391501
Longview,WA,US,200,200,200.0,"Longview, WA, US",46.1381676,46.1381676
Longville,MN,US,67,67,67.0,"Longville, MN, US",46.9863443,46.9863443
Lousville,KY,US,5000,5000,5e3,"Lousville, KY, US",38.2526647,38.2526647
Loup City,NE,US,150,150,150.0,"Loup City, NE, US",41.275565,41.275565
Lubbock,TX,US,350,350,350.0,"Lubbock, TX, US",33.5778631,33.5778631
Lubec,ME,US,95,95,95.0,"Lubec, ME, US",44.85858630000001,44.85858630000001
Mt. Shasta,CA,US,400,400,400.0,"Mt. Shasta, CA, US",41.3098746,41.3098746
Madison,WI,US,75000,10000,42500.0,"Madison, WI, US",43.0730517,43.0730517
Mankato,MN,US,50,50,50.0,"Mankato, MN, US",44.1635775,44.1635775
Marfa,TX,US,76,76,76.0,"Marfa, TX, US",30.3094622,30.3094622
Martha's Vineyard,MA,US,100,100,100.0,"Martha's Vineyard, MA, US",41.3804981,41.3804981
Marquette,MI,US,200,800,500.0,"Marquette, MI, US",46.5475825,46.5475825
Marquette,WI,US,200,300,250.0,"Marquette, WI, US",43.865322,43.865322
Maryville,IL,US,NA,NA,NA,"Maryville, IL, US",38.7244997,38.7244997
Maui,HI,US,1500,2000,1750.0,"Maui, HI, US",20.7983626,20.7983626
Mayaguez,PR,US,NA,NA,NA,"Mayaguez, PR, US",18.2110294,18.2110294
McMinnville,OR,US,700,100,400.0,"McMinnville, OR, US",45.21011619999999,45.21011619999999
Melbourn,FL,US,500,500,500.0,"Melbourn, FL, US",28.0836269,28.0836269
Memphis,TN,US,9000,9000,9e3,"Memphis, TN, US",35.1495343,35.1495343
Menomonie,WI,US,NA,NA,NA,"Menomonie, WI, US",44.8755183,44.8755183
Mentone,AL,US,50,50,50.0,"Mentone, AL, US",34.5795282,34.5795282
Merrill,MI,US,NA,NA,NA,"Merrill, MI, US",43.4097497,43.4097497
Miami,FL,US,10000,10000,1e4,"Miami, FL, US",25.7616798,25.7616798
Miami Beach,FL,US,NA,NA,NA,"Miami Beach, FL, US",25.790654,25.790654
Midland,MI,US,400,400,400.0,"Midland, MI, US",43.6155825,43.6155825
Midland,TX,US,50,50,50.0,"Midland, TX, US",31.9973456,31.9973456
Miles City,MT,US,NA,NA,NA,"Miles City, MT, US",46.4083362,46.4083362
Milhelm,PA,US,50,50,50.0,"Milhelm, PA, US",NA,NA
Milwaukee,WI,US,1000,1000,1e3,"Milwaukee, WI, US",43.0389025,43.0389025
Minneapolis,MN,US,NA,NA,NA,"Minneapolis, MN, US",44.977753,44.977753
Minocqua,WI,US,300,300,300.0,"Minocqua, WI, US",45.8710837,45.8710837
Missoula,MT,US,NA,NA,NA,"Missoula, MT, US",46.87871759999999,46.87871759999999
Moab,UT,US,200,200,200.0,"Moab, UT, US",38.5733155,38.5733155
Mobile,AL,US,900,1000,950.0,"Mobile, AL, US",30.6953657,30.6953657
Modesto,CA,US,900,900,900.0,"Modesto, CA, US",37.63909719999999,37.63909719999999
Mooresville,NC,US,NA,NA,NA,"Mooresville, NC, US",35.5848596,35.5848596
Montpelier,VT,US,15000,20000,17500.0,"Montpelier, VT, US",44.26005929999999,44.26005929999999
Monterey Bay,CA,US,1500,1500,1500.0,"Monterey Bay, CA, US",36.8007413,36.8007413
Morganton,NC,US,500,500,500.0,"Morganton, NC, US",35.7454071,35.7454071
Morris,MN,US,250,250,250.0,"Morris, MN, US",45.5919444,45.5919444
Moscow,ID,US,2500,2500,2500.0,"Moscow, ID, US",46.73238749999999,46.73238749999999
Mount Vernon,OH,US,20,30,25.0,"Mount Vernon, OH, US",40.3933956,40.3933956
Mount Vernon,WA,US,NA,NA,NA,"Mount Vernon, WA, US",48.421216,48.421216
Murfreesboro,TN,US,NA,NA,NA,"Murfreesboro, TN, US",35.8456213,35.8456213
Murray,KY,US,700,700,700.0,"Murray, KY, US",36.6103334,36.6103334
Nacogdoches,TX,US,200,300,250.0,"Nacogdoches, TX, US",31.6035129,31.6035129
Nantucket,MA,US,NA,NA,NA,"Nantucket, MA, US",41.2834704,41.2834704
Napa,CA,US,3000,3000,3e3,"Napa, CA, US",38.2975381,38.2975381
Naples,FL,US,2500,5000,3750.0,"Naples, FL, US",26.1420358,26.1420358
Nashville,TN,US,15000,20000,17500.0,"Nashville, TN, US",36.1626638,36.1626638
Nevada City,CA,US,100,100,100.0,"Nevada City, CA, US",39.2615606,39.2615606
New Bern,NC,US,300,600,450.0,"New Bern, NC, US",35.108493,35.108493
New Haven,CT,US,NA,NA,NA,"New Haven, CT, US",41.308274,41.308274
New Orleans,LA,US,10000,10000,1e4,"New Orleans, LA, US",29.95106579999999,29.95106579999999
New Smyrna Beach,FL,US,1000,1000,1e3,"New Smyrna Beach, FL, US",29.0258191,29.0258191
New York,NY,US,400000,500000,45e4,"New York, NY, US",40.7127837,40.7127837
Newark,DE,US,1200,1200,1200.0,"Newark, DE, US",39.6837226,39.6837226
Newark,NJ,US,1000,1000,1e3,"Newark, NJ, US",40.735657,40.735657
Newport,OR,US,1500,1500,1500.0,"Newport, OR, US",41.4901024,41.4901024
Nome,AK,US,NA,NA,NA,"Nome, AK, US",64.5011111,64.5011111
Norfolk,VA,US,2000,2000,2e3,"Norfolk, VA, US",36.8507689,36.8507689
Northampton,MA,US,1000,1000,1e3,"Northampton, MA, US",42.3250896,42.3250896
Oahu,HI,US,3000,5000,4e3,"Oahu, HI, US",21.4389123,21.4389123
Oakhurst,CA,US,200,200,200.0,"Oakhurst, CA, US",37.3279997,37.3279997
Oakland,CA,US,60000,100000,8e4,"Oakland, CA, US",37.8043637,37.8043637
Oak Ridge,TN,US,NA,NA,NA,"Oak Ridge, TN, US",36.0103561,36.0103561
Ocala,FL,US,NA,NA,NA,"Ocala, FL, US",29.1871986,29.1871986
Ocean City,MD,US,100,100,100.0,"Ocean City, MD, US",38.3365032,38.3365032
Ogden,UT,US,200,200,200.0,"Ogden, UT, US",41.223,41.223
Oklahoma City,OK,US,12000,12000,12e3,"Oklahoma City, OK, US",35.4675602,35.4675602
Old Saybrook,CT,US,NA,NA,NA,"Old Saybrook, CT, US",41.2960159,41.2960159
Olympia,WA,US,10000,10000,1e4,"Olympia, WA, US",47.0378741,47.0378741
Omaha,NE,US,12000,14000,13e3,"Omaha, NE, US",41.2523634,41.2523634
Oneonta,NY,US,500,500,500.0,"Oneonta, NY, US",42.4528571,42.4528571
Onley,VA,US,50,50,50.0,"Onley, VA, US",37.6909641,37.6909641
Ontario,CA,US,200,200,200.0,"Ontario, CA, US",34.0633443,34.0633443
Orange County,CA,US,NA,NA,NA,"Orange County, CA, US",33.7174708,33.7174708
Orlando,FL,US,3000,3000,3e3,"Orlando, FL, US",28.5383355,28.5383355
Oxford,MS,US,450,450,450.0,"Oxford, MS, US",34.3664951,34.3664951
Pacifica,CA,US,1200,1200,1200.0,"Pacifica, CA, US",37.6138253,37.6138253
Palm Desert,CA,US,1000,1000,1e3,"Palm Desert, CA, US",33.7222445,33.7222445
Palm Springs,CA,US,600,600,600.0,"Palm Springs, CA, US",33.8302961,33.8302961
Palmdale,CA,US,24,24,24.0,"Palmdale, CA, US",34.5794343,34.5794343
Palmer,AK,US,NA,NA,NA,"Palmer, AK, US",61.5997222,61.5997222
Park City,UT,US,8000,8000,8e3,"Park City, UT, US",40.6460622,40.6460622
Panama City,FL,US,500,500,500.0,"Panama City, FL, US",30.1588129,30.1588129
Paoli,IN,US,67,67,67.0,"Paoli, IN, US",38.55616630000001,38.55616630000001
Pasadena,CA,US,1700,1700,1700.0,"Pasadena, CA, US",34.1477849,34.1477849
Peoria,IL,US,2000,2000,2e3,"Peoria, IL, US",40.6936488,40.6936488
Pendelton,OR,US,425,425,425.0,"Pendelton, OR, US",45.672075,45.672075
Pensacola,FL,US,2000,2000,2e3,"Pensacola, FL, US",30.42130899999999,30.42130899999999
Pence,WI,US,1,1,1.0,"Pence, WI, US",46.4152257,46.4152257
Pequannock Township,NJ,US,800,1000,900.0,"Pequannock Township, NJ, US",40.960201,40.960201
Philadelphia,PA,US,50000,50000,5e4,"Philadelphia, PA, US",39.9525839,39.9525839
Phoenix,AZ,US,20000,20000,2e4,"Phoenix, AZ, US",33.4483771,33.4483771
Pierre,SD,US,NA,NA,NA,"Pierre, SD, US",44.3683156,44.3683156
Pinedale,WY,US,100,100,100.0,"Pinedale, WY, US",42.8678809,42.8678809
Pittsburgh,PA,US,25000,25000,25e3,"Pittsburgh, PA, US",40.44062479999999,40.44062479999999
Pittsfield,MA,US,1500,1500,1500.0,"Pittsfield, MA, US",42.4500845,42.4500845
Plymouth,WI,US,NA,NA,NA,"Plymouth, WI, US",43.7486054,43.7486054
